"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-13","0.00","0.0","0.0",,"107","72"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-14","0.00","0.0","0.0",,"109","79"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-15","0.00","0.0","0.0",,"106","82"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-16","0.00","0.0","0.0",,"106","75"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-17","0.00","0.0","0.0",,"103","79"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-18","0.00","0.0","0.0",,"106","77"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-19","0.00","0.0","0.0",,"103","80"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-20","0.00","0.0","0.0",,"104","76"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-21","0.00","0.0","0.0",,"100","74"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-22","0.00","0.0","0.0",,"107","75"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-23","0.00","0.0","0.0",,"105","73"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-24","0.00","0.0","0.0",,"106","68"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-25","0.00","0.0","0.0",,"101","78"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-26","0.00","0.0","0.0",,"102","71"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-27","0.00","0.0","0.0",,"105","73"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-06-28","0.00","0.0","0.0",,"103","66"
